Gene	logFold_proB_preproB
Gng12	-0.07534800000000003
Sash3	-0.501526
Stx12	-0.0444315
Arhgap11a	0.6150915
Stx17	0.3478975
Znhit3	0.0995209
Stub1	0.272933
Tyms	0.4673140625
Fam104a	-0.0363341
AI314180	-0.05112193333333332
Trnt1	-1.4134316714285713
Rap2b	0.190532
Mrpl11	0.32184
Mrpl12	0.309226
Pdxk	-2.87512
Psmd9	0.0542652
Klf16	-1.08153
Mrpl16	0.524322
Mrpl17	0.7466367777777778
Psmd5	-0.03279675000000001
Psmd4	-0.03342002000000001
Psmd7	0.157587
Psmd6	0.01720499999999997
Psmd1	0.23941880000000001
Psmd3	0.282667
Psmd2	0.116475
Agpat5	0.0460638
Ncl	0.85742725
Ifrd1	0.0330824
Lta4h	-0.844549
Lmna	-1.7677285714285715
Stam	-0.047267799999999985
Phb2	0.03839014285714275
Prpf18	0.037186111111111114
Supt16	0.371462
Ermp1	2.6873454999999997
Cmas	-0.08525194736842105
Ubfd1	-0.2090855
Gstp1	0.185692
Wdfy4	0.4673972
Hba-a1	0.0
Wdfy1	1.1630655666666667
Cox6b1	0.2857805
Pttg1	0.8354621428571428
Atp5f1	0.4740409
Fam133b	-0.060619875
Mras	0.3881015
Cbl	-0.22743511111111112
Commd2	0.24368533333333334
Htatsf1	0.37532645
Snf8	-0.06154
Imp3	-0.0562441
H3f3b	0.8993865
Clec12a	-2.46229
Larp4b	-0.34195644444444445
Rfc5	1.57677
Rfc4	0.3890468
Uck2	-0.006983473333333346
Rfc1	0.1260752
Rfc3	1.03759
Rfc2	-0.993016
Apex1	0.7195379
Acat1	-0.269034
Acat3	0.66413
Aldh1b1	1.1996566666666666
Sars	0.22619766666666663
Usp25	-0.198769
Asah1	-1.2023113333333333
Tcof1	-0.17296447636363635
Arl8b	-0.09267060000000002
Trim33	-0.1586332
Ahnak	-1.09784
Amdhd2	-0.196168
Efl1	-0.1499726666666667
Ldlr	0.326661
Dlat	-0.107374
Smap1	0.086381
Ube3a	-0.0380724
Dbnl	-0.14851479775
Fam91a1	-1.24292
Zmynd8	-0.37866152941176473
Tigar	0.0036240000000000022
Paf1	-0.44889
Gmnn	0.07767612499999998
Fam114a2	-0.4921735
Slc7a6os	-0.182201
Tpr	0.18506288235294116
Aldoa	0.10361147826086957
Cmtr1	-0.07006992
Uqcrq	1.5340456666666666
Rlim	-0.056631714285714285
Cox6c	0.2847804285714286
Gpsm1	-0.06538769090909091
Kdm1a	0.12651524545454548
Vav1	-0.3896
Kbtbd4	0.327399
Cdca5	1.75469
Akt1	0.6460779999999999
Pip4k2a	-2.2263800000000002
Cope	0.011436125000000005
Txnrd3	1.09593
Igtp	-0.22487399999999996
Nsfl1c	-0.041226
Slc29a1	-0.40793606250000003
Nln	-0.7462043333333334
Usp8	0.015675999999999968
Rif1	0.22152376470588234
Nup107	0.07974499999999995
Cdkn2aip	-0.1331025
Itsn2	-0.27167315
Usp4	0.10234733750000002
Usp5	0.07131364285714285
Usp7	-0.03297892785714286
Adpgk	-2.166916
Gpd1l	0.97532
Top2b	-0.17359037500000002
Top2a	2.06292
Irf3	0.014695799999999992
Irf2	0.1818455619047619
Bms1	-0.0495428
Nme1	0.12058189999999999
Rpl38	0.0
Irf4	2.4196475
Hat1	1.418445
Rpl37	-0.651762
Rpl34	-0.08221144444444445
Arpc5l	1.35534
Rpl32	-0.33626900000000004
Bod1l	-0.015301000000000009
Rpl30	-0.25635669230769226
Rpl31	0.082977125
Sfpq	0.471372
Lsg1	-1.04088
Bcas2	0.30010963
Scaf1	-0.06776299999999999
Hdhd5	-0.18527
Strn4	0.0941474
Pgrmc2	-0.186051
Pgrmc1	-0.285036
Tpp1	-0.4975975
Tpp2	0.4174581176470587
Rad50	0.03148653333333334
Zzef1	-0.15214224999999998
Nars	-0.349947
Phgdh	0.32621137499999997
Gm27029	-2.303345
Rfk	-0.710909
Blvra	0.9574218333333334
Ing1	-0.1928880925925926
Agfg1	0.58921475
Snrnp200	0.781421
Cep170	0.6292214075
Vps33b	-0.5116112
Zfp36l1	0.34979933333333335
Ahsa1	-0.08071957142857143
Farsb	-0.4347947777777777
Farsa	0.0362872775
Uap1l1	0.00729726
Vps16	-0.8581525
Cst7	-3.20942
Dera	-0.1074591
D10Wsu102e	-0.119248
Wdr5	0.346593
Mettl3	1.2792621304347827
Wdr3	-0.001409500000000008
Wdr1	0.0141858
Gtf2f2	0.254213
Bbx	0.23190733333333338
Magohb	0.13309304615384615
Uba6	0.831249
Ppme1	0.55093
Uba5	-0.0734155
Uba2	0.21813209090909094
Vps11	-0.09792537499999998
Uba1	0.1933206666666667
Flna	-0.025680000000000036
Flnb	-2.82734
Rbl1	2.23613
Naa20	0.20019133333333336
Pdcd2	0.7754715000000001
Naa25	-0.4776302222222222
Eipr1	-0.39675215454545465
Mlec	-0.765972
Wars	-0.09728311111111114
Clint1	-0.4933485
Aldh4a1	-0.451388
Sin3a	0.47146063636363633
Rassf2	-1.601551428571429
Sf3a2	-0.06922161538461538
Zfp706	0.04098191250000002
Sltm	-0.1753735
Gstm1	-0.015472266666666666
Reps1	-0.4562711945833333
Coasy	-0.2676439
Kcnab2	-0.3330583
Stk38	-0.22786804
Cebpz	-0.880319
Ggta1	-0.5974362428571428
Cct8	-1.6681957272727272
Hdgfl2	-0.0232567857142857
Cct2	0.6046935999999999
Cct3	0.806967625
Pno1	0.14744
Cct7	0.048068444444444455
Cct4	-0.003375257142857143
Cct5	0.5346091
Dtymk	0.6451393333333334
Lamp2	-0.7626619999999998
Lamp1	-0.269481
Gltp	0.03589
Cep44	0.8426758181818182
Dcun1d5	0.24795574999999997
Smchd1	-0.2585806666666666
Pold1	0.631939857142857
Pold2	0.81642
Pold3	0.23936659999999996
Zfp638	0.0577808181818182
Hcls1	0.4008485
Dut	2.18933
Ralb	-0.07530066666666664
Hdac1	-1.61829
H1f0	0.779035
Rps12-ps3	1.16993
Hdac7	0.31766120833333333
Klc3	-1.006765
Polr2l	-0.854241
Ttc33	-0.46511075
Skiv2l	-0.9785355
Ttc37	0.5066324444444444
Sfxn3	0.7818900000000001
Bphl	-0.9687694285714284
Edrf1	-0.002476569999999989
Rrp12	-0.393936
Sh3kbp1	0.5339144214285715
Fam126a	-0.18272410909090908
Gmps	-0.153341
Rpl22l1	0.31678875
Vamp3	-1.16569
Clns1a	-0.582196
Fus	-0.12443925
Ufm1	0.15495072857142858
Vamp8	-1.154871
Upf3b	0.4328295
Rars	0.403261
Usp16	0.19345025000000002
Strn	0.34331380000000006
Usp14	0.03498500812182741
Mettl13	-0.30018829999999996
Rnaset2a	-0.0176017
Gimap1	-0.5443899999999999
Tada3	-0.18196957285714288
Gatd1	-0.54154
Set	0.08862229999999997
Prpsap1	0.26154299999999997
Prpsap2	0.0
Rrp1b	-0.1499815
Psme4	0.03688233333333333
Psme2	0.18119639999999998
Psme3	-1.1568673333333332
Ndufb11	-0.449525
Psme1	0.21393878571428576
Ikzf1	-0.9216108000000001
Ikzf3	7.09017
AI597479	-0.0408794
Mesd	-0.5548525888888889
H2afv	0.9452695
Mtf2	-0.5414128461538461
Isyna1	0.4597537333333333
H2afx	2.61518
H2afy	-0.4895800000000001
Mcm7	0.06775277777777777
Mcm6	0.9618915
Mcm5	0.30877177777777776
Mcm4	1.05637
Mcm3	1.68961
Mcm2	0.8431966666666666
Slc4a1ap	-0.011742777777777776
Scfd1	1.2404068000000001
Mrps17	-0.1277057893617021
Cnn3	-0.2074168238095238
Cnn2	7.5488115
Hadhb	0.39558693529411765
Hadha	-0.158611
Hmga2	-3.209770142857143
Nxt1	1.047703
BC017158	0.4822285714285714
Akr1b3	0.08821524285714287
Lxn	3.72869
Lman2l	0.056731346153846146
Naxe	-0.12393
Asl	0.26935858333333335
Thumpd1	-0.424244
Oard1	0.6648755000000001
Mrps10	-0.18982258750000003
Skp1a	-0.095901875
Fam107b	0.04997140769230769
Qk	-1.0298392
Hddc3	0.4925001052631579
Mepce	-0.03663275000000002
Man2b2	-0.004778927272727288
Cd48	-1.36742
Man2b1	-2.221685
Cd44	-0.8498877777777777
Cd47	-1.87942
Rap1a	0.10116835294117642
Rnf114	-1.1469244
Babam1	0.544979
Kif2c	1.1772633333333333
Satb1	-2.544539348
Tapt1	0.49959000000000003
Ppp2r5d	0.861323
Ppp2r5e	0.12746261111111112
Ppp2r5a	0.6507648416666666
Gfer	0.26066
Chordc1	-0.6636752
Ncoa5	0.05115663636363636
Zwint	0.04330685714285714
Cyp51	1.18735
Pbdc1	0.16630040000000001
Nras	0.023202172413793087
Csnk2a2	1.0343678888888888
Tfdp1	0.6680226111111112
Sumo1	-0.15455233333333335
Bid	-0.6600024
Sumo2	0.08047825
Nup35	0.42340666666666665
Ppp4r1	0.3327013333333334
Ppp4r2	-0.204039
Pds5b	0.22441683
Lancl1	0.16376490999999999
Armc8	0.3035816
Armc6	-4.296758
Plpbp	0.23198068181818188
Rnf2	0.3916901071428572
Chmp6	0.21112048000000003
Chmp5	-0.141563
Armc1	0.258582
Nit2	-0.62358
H2-D1	0.03983999999999999
Gps1	0.2871047692307692
Smndc1	-0.104015
Glod4	-1.4668811750000001
BC035947	0.0
Fcer1g	-3.5764026333333336
Cd2ap	0.192341
Pygb	1.45329
Rnh1	-0.26710589999999995
Mark2	-0.11347240740740741
Trappc12	-0.225870275
Pfas	0.17537577777777777
Strip1	0.389021
Hjurp	0.1820465
Gm10031	0.13629425
Snip1	-0.069128
Vipas39	-0.0378484
Tubb5	0.9910805
Tubb3	0.9165966666666666
Tia1	0.0926514117647059
Mtpn	-0.2457986666666667
Impdh2	-0.6384116666666666
Spc25	1.6173803636363635
Dguok	1.0011733636363636
Wdr76	1.087363
Pfkfb3	0.5616814722222222
Gm28036	0.13556627272727273
Pdap1	0.489719
Myg1	-0.008311333333333337
Gm9803	-0.02751874999999998
Tcerg1	0.6621825
Tbc1d5	-1.3046055
Gsk3b	0.118989
Spen	-0.4022915
Sp110	-0.156639
Spout1	0.24841
Mdp1	-1.4777
Nifk	-0.264757075
Ngdn	-0.340972
Mat2a	0.27260138461538463
Hnrnpdl	0.6314062727272727
Pmf1	1.993866142857143
Mat2b	0.38143308000000004
Qdpr	0.4622649142857143
Mcrip1	0.0340907
Gemin4	0.0
Gemin5	-0.5572923333333333
Mapk14	-0.7874691666666668
Srrm1	0.04756114583333332
Sae1	0.7806876666666667
Gng5	-0.05058975
Itgal	-0.5822117777777778
Lig1	0.5151057
Lig3	-0.10791997500000002
Cnot4	0.35465753571428577
Cmss1	0.0995357
Phf14	0.006468166666666608
Gtf2e1	-0.1921025
Gtf2e2	0.23581894444444446
Eif4e2	0.15760799999999997
Vps26a	-0.03624872
Camk1d	-1.1900979999999999
Vps26b	-1.93299
Kdelc1	0.15976625
Smc2	0.7085917142857143
Bgn	0.616265
Ppp1r8	0.32477599999999995
Gpd1	-0.9927004428571429
Gpd2	0.384523
Csrp1	-5.6689315
Limd2	-0.08150733333333333
Mgea5	-0.215464
Csrp2	0.23148019047619048
Hnrnpul2	0.0495765
Hnrnpul1	1.0683983333333333
Sap30	0.346939
Nop58	-0.013423529032258064
Erbin	-0.063772
Acsf2	2.09165
Nop56	-0.09303812173913044
Itga4	-3.00211
Itga6	-3.26611375
Fkbp4	1.4687564149999999
Cdk1	0.36573142857142865
Cdk2	0.0705575
Pole4	0.09913299999999999
Cdk4	0.16654409999999997
Sarnp	-0.0469392
Cdk6	-0.07760091666666667
Fkbp3	-0.06713035714285717
Trip10	-0.6024872727272726
Cdk9	-0.33519363636363636
Trip12	0.11694439215686275
Trip13	1.5398376249999999
Fkbp8	-2.36864498
Pdhx	0.39998925
Srek1	-0.08809969230769234
1110059G10Rik	0.28440224999999997
Tmem41b	0.14075320714285713
Wasf2	-0.1810882
Srgap2	0.6006676000000001
Psat1	0.5144628333333333
Aatf	-0.215633
Pbrm1	0.4402141269230769
Dnm1l	-0.6351879
Pdhb	-0.636921
Enpep	2.9254033333333336
Fahd2a	0.0
Snrpb2	0.384974
Ppp3r1	-0.407002
Suv39h1	0.49535900000000005
Dcaf7	-0.0360762
Arpc2	0.13334065555555555
Ap2m1	1.4336872000000003
Nipbl	0.613664
Prkcsh	-0.46375279999999997
Erp29	-0.37195416666666664
Sppl2a	0.06374
Stk10	-1.6522
M6pr	5.204064000000001
Edf1	1.21996
Tmem11	0.5367118333333333
Hspa4l	-0.020967999999999976
Zfp608	0.882989
Itpa	1.12677
Ap1s1	0.207387
Ebf1	0.68436
Crk	-0.15397471428571433
Pdgfrb	-1.0239599999999998
Psmd8	-0.09035846153846154
Atp5a1	0.9896331000000002
Tmem30a	-0.7687149999999999
Scnm1	0.08238000000000001
Diaph2	0.79740218
Prkar1a	-1.228566
Cs	-0.0655192
Cox7a1	0.0
Cox7a2	0.825551
Ttc27	-0.0717588
Rad23a	0.08170557142857139
Ufl1	0.193382
Wwp2	-0.3432268
Ctdspl2	0.6717378
Cks2	1.38155
Cap1	-0.41624557500000003
Cdca7	1.4325350000000001
Zfp512	-0.23924250000000002
Usp28	-0.7856446
Snu13	1.05059
Cdca8	0.9402528000000002
Cmc2	0.4947502142857143
Npm1	-0.17014174999999995
Igf2bp3	-3.5959805
Nt5c2	0.9913133999999999
Kansl3	0.3831398928571428
Psmf1	1.0676096666666668
Kif22	1.9906300000000001
Dstn	0.795683
Xrn1	0.19689941176470588
Xrn2	0.0366689
Mindy2	0.215739
Arhgap4	-0.2661983333333333
Arhgap1	0.157576
Mrm3	-1.43137
Nop2	-0.3085925
Med20	1.18706
Prpf31	0.0906134675
Chtop	-0.058959
Rassf5	-0.39062166666666664
Men1	0.18213637500000002
Dnm2	-0.21257107142857148
Nhp2	0.9790858
Dynlrb1	-0.9289785000000002
Nabp2	-0.03300636666666665
Hmgb3	0.17683949999999998
Hmgb2	0.48760116666666664
Hmgb1	0.17416813333333334
Nsf	-0.028264400000000002
Gnai2	-0.5526484285714286
Dvl2	0.020412000000000003
Dync1li1	-0.473959
Uchl5	0.21002820833333333
Kif2a	0.3674026666666667
Uchl3	-0.00122095
Utp6	0.6269745
Atic	-0.306088
Utp3	0.43945
Mtch1	0.524966
Gabarapl2	-0.0433337
Meaf6	0.10119469999999997
Pogz	0.451962
Cnot9	1.41037
Cnot8	-0.30495695
Tial1	-0.6639258821428572
Cnot3	-0.236904971
Cnot2	0.13582444814814817
Cnot1	-0.8310797333333333
Cnot7	0.37864262499999995
Coro2a	-0.11116999999999999
Ankrd28	-0.40675747500000003
Ube2j1	0.7607671428571428
Cd34	-5.39152
Ly9	0.06380571428571427
Tsta3	-0.212773
Gak	-0.026627999999999985
Mrps34	-0.7714917
Ccdc6	0.23507024000000004
Mta1	-0.0740862
Mta2	-0.430459
Mta3	-0.75430741
Ndufab1	0.23652885714285715
Ehd4	0.483282
Ncan	0.0
Ehd1	0.805731
Atg16l1	0.23275592
Ttf2	0.276181
Gcn1l1	0.531438
Ist1	-0.60494
Khnyn	-0.4271705
Atxn2	-0.38917519166666675
Atxn3	-0.005573210526315697
Zmpste24	0.7681300000000001
Rcc1	1.0138367416666665
Rcc2	-0.5059772
Plscr1	0.8042162000000002
Pcyt2	0.300175
Eml4	-3.4768066666666666
Atp5k	-0.1318747142857143
Atp5j	-0.14362
Afg3l2	-0.539929
Atp5o	-0.5982500833333333
Sra1	-0.06991716666666667
Oxsr1	-0.5688875
Atp5l	1.78725
Aldh16a1	0.015113133333333336
Atp5b	-0.0302465
Lyn	-1.274762
Mtap	0.116772
Atp5e	1.28116
Atp5d	0.5956769999999999
Bcap31	0.0880108
Ccdc134	-0.201693
Camk2d	0.4260409565217391
Nup160	1.30717
Cept1	-0.37004584000000007
U2surp	-0.020263428571428623
Txlna	0.0795989523809524
Rpl14	-0.167482
Rpl15	0.13408375
Rpl17	-0.271913
Rpl10	-0.3654566363636364
Rpl11	0.709241
Rpl12	0.4332305
Rpl13	-0.517788
Ubxn4	-0.3841902666666666
Ubxn6	-0.21525399999999997
Ubxn7	-0.205439
Rpl18	0.016442027272727297
Rpl19	-5.779839
Timm8b	-0.0731989
Bclaf1	0.035340904761904775
H2-Ke6	-1.1808733333333332
Safb	0.19494836363636364
Rpa3	2.00118
Rpa2	1.83503
Atp5h	-0.3904059333333334
Lnpep	-0.0710528
Clta	-1.3735701428571427
Tmem173	-1.9114784999999999
Mrpl10	0.1504973
Gsr	0.36257
Nisch	0.02275363157894738
Cltb	-0.19625229230769234
Rdx	-2.6824503333333336
Mrpl13	0.7318052500000001
Elf1	-0.9810144
Mrpl14	1.59743
Yipf3	-0.05354950000000001
Elf2	-0.5696792314285715
Yipf4	-0.643379
Sugp1	-0.183618
Hk2	-0.56467
Ppt1	-0.2024960615384615
Hk1	0.061988155813953484
Mrpl18	1.37957
Smarcd2	0.35959699999999994
Smarcd1	-0.984754
Ncaph	1.393065
Hist1h1d	1.97981
Hist1h1e	2.08296
Hist1h1a	0.946343
Hist1h1b	2.88342
Hist1h1c	2.09904
Sod2	-0.218754
Sod1	0.278492
Tomm34	0.8802215
Gbp7	-0.410458
Ftsj3	-0.360214
Rock2	-1.3859223333333333
Ddost	-0.517331
Babam2	0.19183783333333335
Lef1	3.7682725
Mphosph6	0.998267
Dad1	-0.8000716666666666
Cox7a2l	-0.2588065
0610037L13Rik	0.13442025
Cbr4	0.38822425
Necap2	-1.4876779999999998
Cbr1	1.57116
Thop1	0.492202
Prkar2a	-0.20213316250000002
Tarbp1	3.03635
Prkar2b	0.3126385
Nusap1	2.5524899999999997
Uqcrc2	0.142039
Kif4	2.31704
Tmed10	-0.26458966666666667
Timm17b	0.564303
Exoc1	-0.34613033333333326
Exoc6	-1.25128
Diaph1	-1.3319134
Bcl2l13	0.4306146
Ccdc59	0.452472
Exoc8	-0.171351
Eed	-0.023808816666666663
Uqcrfs1	0.622172
Gabpa	1.3323974666666667
Zmym2	0.27968859999999995
Lars2	0.06847433333333332
Zfand6	0.16348695909090907
Tubb4b	1.64778
Snrpa1	0.10993200000000003
Top1	0.772897
5830411N06Rik	0.0
Tomm20	-0.7185656666666667
Tomm22	0.07304000000000002
Ap1b1	-1.0275733333333334
Igf2r	-0.37544428571428573
Washc2	-0.4661238
Dpm1	-0.688535
Dhx9	0.045905916666666664
Taf7	0.16115
Atp1a1	-2.19805
Gins3	0.31203633333333336
Metap1	-0.20508985714285716
Clybl	-1.53194
Lypla2	-0.14667766666666668
Metap2	-0.015034999999999998
Hikeshi	0.1565935
Gm38431	0.418971
Cotl1	-0.0803866
Pgm3	-0.56279
Polr3d	4.756125000000001
Polr3e	-0.8403073333333334
Chaf1a	1.43856
Polr3a	-0.6031181
Galnt7	0.0661755
Galnt1	-0.3080250625
Luzp4	0.0
Ncbp1	0.181338
Ncbp3	-0.226246
Slc9a3r1	-0.23701
Ubxn1	-2.6527220333333337
Prpf19	0.2528715
Wdr36	-0.31824883333333337
Wdr33	-0.11296650000000003
Mios	-0.290971
Gpalpp1	-0.39725
Fam45a	0.5453731875000001
Smarcc2	-0.118840175
Fbxo22	0.3001033466666667
Vwa8	-0.3363213333333333
Borcs6	-0.333424
Trub1	-1.27411
Dlgap5	1.14414775
Gmppa	-0.9501506679999998
Ufc1	0.9944159999999999
Gmppb	-0.2498495
Usp39	0.4281055
Sh3bgrl3	-1.16799
Smarcc1	0.2546558789473684
Psmg3	0.224088
Slirp	0.46827575454545456
Ide	0.04637345
Arpp21	-0.03346071133333332
Usp36	-0.6271387499999999
Xpo1	0.7113887
Elovl1	-1.2076314000000001
Xpo5	-0.261593
Xpo4	-0.34955759999999997
4931406C07Rik	-0.68389
Yme1l1	0.549429
Nipsnap3b	-0.44359
Pxn	-0.40015829411764703
Cetn2	0.030172428571428576
Mnat1	0.8681765
4930544D05Rik	0.0
Wiz	-0.7345101666666668
Acy1	0.1053067391304348
Copz1	-0.135311
Fdps	0.08164619333333337
Pabpn1	0.1681368470588235
Cpne8	0.0
Arhgap25	-1.5682800000000003
Atp4b	0.0
Hs1bp3	1.3602528500000002
Cpne3	-0.251089
Cmpk1	0.12478349999999999
Cpne1	-0.2734513842105263
Ssh2	0.10227596666666668
Tmem209	0.09857886250000002
Ctbp1	0.12464389
Ctbp2	-0.32865380769230773
Borcs8	-0.20142262500000002
Supt4a	-1.7310295333333334
Fntb	-0.11008181818181818
Aqr	0.1708965
Stn1	-0.8231163333333334
Washc4	-0.3797185
Rbm34	-0.17315830000000001
Sept9	-2.9810795
Git1	-0.2948222
Git2	0.12046577272727274
Smarcad1	0.02534483333333326
Sept7	-0.4915725
Sept6	-0.17593214285714284
Rbm39	0.3141334772727272
Sept2	-0.30024018214285714
Sympk	-0.6321742699999999
Hmgcl	-0.133187
Nap1l1	-0.03152746153846154
Nutf2-ps1	0.222845
Nap1l4	0.5469479999999999
Tecr	0.18934672727272728
Stambpl1	0.44609689
Gmds	-0.268926
Coa3	-0.2362925
Get4	-0.22077857777777776
Thy1	0.0
Gm28635	0.0
Cd22	1.9720736296296295
Eci1	-1.63743
Txn1	1.24889
Ptprc	-1.908579230769231
Ipo9	0.2148778235294118
Aacs	0.375559
Ipo7	0.295169
Ipo4	-0.2271011111111111
Ipo5	1.84562
Rasa3	0.20921166666666666
Pck2	0.10561381818181817
Pphln1	0.14455875
Dpysl2	0.947396
Arl6ip6	1.02024
Pes1	-0.247288252
Rel	-1.17423
Serp1	0.81503
Psmb10	0.424867
Sar1a	0.26273292000000004
Prmt3	-0.492216
Dhodh	0.27406372631578957
Prmt1	-0.09002120000000001
Prmt5	-0.12316416666666667
Slc3a2	0.0606792315789474
Anapc7	0.569329947368421
Ppp1r9b	-0.860907
Fam172a	0.0885077
Agk	0.444693
Ncapd3	0.40437556666666663
Map3k1	0.2191419166666667
Jpt2	-0.311444
Map3k4	0.378931
Jpt1	0.24327
Basp1	-0.77215125
Fiz1	0.06964899090909092
Tsen2	-0.1740138571428571
Gm10053	0.00302769
Rab5a	-0.736966
Tubgcp2	0.11306641666666663
Tubgcp4	0.4598636363636364
Ppp4r3a	0.0089536
Ppp4r3b	0.1777495
Frg1	0.895093
Stim1	0.09252444444444444
Wtap	-0.3330988466666667
Pdcl3	0.3175958
Myef2	0.23038452631578946
Rpf2	-3.400000000000877e-05
Rras2	0.9859990000000001
Vapb	0.154335
Rps19bp1	0.155669
Slx4ip	0.09212260000000001
Tmem109	0.1570795
Pak2	-0.77508
Sco2	0.5490083333333333
Dgkz	-0.015891100000000002
Pus1	0.9416127142857142
Aspscr1	0.06762896585365853
Msl1	0.034504572727272725
Pus7	-0.7095512833333334
Csad	-1.42641
Ube2h	-0.090088
Hmga1b	-0.8210386666666668
Ruvbl1	-0.02442735
Imp4	-0.9260169999999999
Gpt2	0.6251281071428572
Ogt	-0.08192216666666667
Cyfip2	0.41167059999999994
1110038F14Rik	0.494751
Ss18	-1.5142163333333334
Pop1	-1.231755
Smarce1	0.104002
Serbp1	-0.011788703333333348
Eif4e	0.3929457555555555
Sptlc2	-1.29004
Tns1	-0.4260572553191489
Gsn	-1.0379846666666668
Eif4b	-0.231029
Il7r	0.0
Dnttip2	-0.00958608
E2f4	0.541641
Evl	-0.722585
Hsph1	0.04760377777777781
Eif4g3	0.0006845535714285646
Eif4g2	0.15729503333333333
Eif4g1	-0.26733749069767443
Cabp2	-0.4135841666666667
Kras	-0.24537200000000003
Macf1	-0.5373086571428571
Bola1	-0.058865
Bola2	-0.09521
1110004E09Rik	-0.034633039416666685
Wdr18	-0.895746
Prkaa1	-0.39286109999999996
Eif2s1	-0.0243872
Naa50	-0.046403499999999986
Naxd	-0.3245208
Impa1	0.23429233333333332
Zfp148	-0.8926580000000001
Akap12	-0.8791433333333334
Akap13	-0.337363625
Spag7	-0.1808955
Dnajc19	0.31698911764705884
Ehmt1	-0.024915942424242422
Ehmt2	-0.34505072727272723
Trap1	-0.24148550000000002
Aars	0.682335
Pgls	-0.0331562
2010107E04Rik	-0.1162566923076923
Mif	1.19626
Fxn	4.818743333333333
R3hcc1	0.19154628571428575
Pnpo	-1.19462
Dbn1	-3.4480025
Anxa11	0.0
Fip1l1	-1.03012769
Efhd2	-1.14341
Mlf2	0.4972199999999999
Lnpk	0.2917775714285714
Smyd5	0.0556908
Ntan1	0.0
Tpm4	0.770752
Tpm3	-0.3362670285714286
Tpm1	0.20484490869565217
Cnot11	0.4884299999999999
Ppp1r12a	-0.06773556666666665
Elk4	-1.3373737777777777
Ftl1-ps1	-0.38249977777777777
Prorsd1	-0.39218766666666666
Zcchc11	0.051806625
Rab8a	-0.250549
Rbm7	-0.06070799999999999
Zc3hc1	0.8965711857142856
Vat1	-1.21879
Sf3b1	0.23384933333333333
Gtpbp4	0.01602833333333333
Gtpbp1	0.08191
Ap2a2	-0.1980812
Klhdc4	-0.05695571428571432
Zbtb8os	-0.019314400000000034
Cth	3.60293
Elmo1	-0.8605320000000001
Ddah2	1.3592775000000001
Dnaja2	-0.453489
